id,name,region_id,region_name
1,Arjeplog,1,Norrbotten
2,Arvidsjaur,1,Norrbotten
3,Boden,1,Norrbotten
4,Gällivare,1,Norrbotten
5,Haparanda,1,Norrbotten
6,Jokkmokk,1,Norrbotten
7,Kalix,1,Norrbotten
8,Kiruna,1,Norrbotten
9,Luleå,1,Norrbotten
10,Pajala,1,Norrbotten
11,Piteå,1,Norrbotten
12,Älvsbyn,1,Norrbotten
13,Överkalix,1,Norrbotten
14,Övertorneå,1,Norrbotten
15,Bjurholm,2,Västerbotten
16,Dorotea,2,Västerbotten
17,Lycksele,2,Västerbotten
18,Malå,2,Västerbotten
19,Nordmaling,2,Västerbotten
20,Norsjö,2,Västerbotten
21,Robertsfors,2,Västerbotten
22,Skellefteå,2,Västerbotten
23,Sorsele,2,Västerbotten
24,Storuman,2,Västerbotten
25,Umeå,2,Västerbotten
26,Vilhelmina,2,Västerbotten
27,Vindeln,2,Västerbotten
28,Vännäs,2,Västerbotten
29,Åsele,2,Västerbotten
30,Berg,3,Jämtland
31,Bräcke,3,Jämtland
32,Härjedalen,3,Jämtland
33,Krokom,3,Jämtland
34,Ragunda,3,Jämtland
35,Strömsund,3,Jämtland
36,Åre,3,Jämtland
37,Östersund,3,Jämtland
38,Härnösand,4,Västernorrland
39,Kramfors,4,Västernorrland
40,Sollefteå,4,Västernorrland
41,Sundsvall,4,Västernorrland
42,Timrå,4,Västernorrland
43,Ånge,4,Västernorrland
44,Örnsköldsvik,4,Västernorrland
45,Bollnäs,5,Gävleborg
46,Gävle,5,Gävleborg
47,Hofors,5,Gävleborg
48,Hudiksvall,5,Gävleborg
49,Ljusdal,5,Gävleborg
50,Nordanstig,5,Gävleborg
51,Ockelbo,5,Gävleborg
52,Ovanåker,5,Gävleborg
53,Sandviken,5,Gävleborg
54,Söderhamn,5,Gävleborg
55,Avesta,6,Dalarna
56,Borlänge,6,Dalarna
57,Falun,6,Dalarna
58,Gagnef,6,Dalarna
59,Hedemora,6,Dalarna
60,Leksand,6,Dalarna
61,Ludvika,6,Dalarna
62,Malung-Sälen,6,Dalarna
63,Mora,6,Dalarna
64,Orsa,6,Dalarna
65,Rättvik,6,Dalarna
66,Smedjebacken,6,Dalarna
67,Säter,6,Dalarna
68,Vansbro,6,Dalarna
69,Älvdalen,6,Dalarna
70,Arvika,7,Värmland
71,Eda,7,Värmland
72,Filipstad,7,Värmland
73,Forshaga,7,Värmland
74,Grums,7,Värmland
75,Hagfors,7,Värmland
76,Hammarö,7,Värmland
77,Karlstad,7,Värmland
78,Kil,7,Värmland
79,Kristinehamn,7,Värmland
80,Munkfors,7,Värmland
81,Storfors,7,Värmland
82,Sunne,7,Värmland
83,Säffle,7,Värmland
84,Torsby,7,Värmland
85,Årjäng,7,Värmland
86,Askersund,8,Örebro
87,Degerfors,8,Örebro
88,Hallsberg,8,Örebro
89,Hällefors,8,Örebro
90,Karlskoga,8,Örebro
91,Kumla,8,Örebro
92,Laxå,8,Örebro
93,Lekeberg,8,Örebro
94,Lindesberg,8,Örebro
95,Ljusnarsberg,8,Örebro
96,Nora,8,Örebro
97,Örebro stad,8,Örebro
98,Arboga,9,Västmanland
99,Fagersta,9,Västmanland
100,Hallstahammar,9,Västmanland
101,Kungsör,9,Västmanland
102,Köping,9,Västmanland
103,Norberg,9,Västmanland
104,Sala,9,Västmanland
105,Skinnskatteberg,9,Västmanland
106,Surahammar,9,Västmanland
107,Västerås,9,Västmanland
108,Enköping,10,Uppsala
109,Heby,10,Uppsala
110,Håbo,10,Uppsala
111,Knivsta,10,Uppsala
112,Tierp,10,Uppsala
113,Uppsala stad,10,Uppsala
114,Älvkarleby,10,Uppsala
115,Östhammar,10,Uppsala
116,Botkyrka,11,Stockholm
117,Danderyd,11,Stockholm
118,Ekerö,11,Stockholm
119,Haninge,11,Stockholm
120,Huddinge,11,Stockholm
121,Järfälla,11,Stockholm
122,Lidingö,11,Stockholm
123,Nacka,11,Stockholm
124,Norrtälje,11,Stockholm
125,Nykvarn,11,Stockholm
126,Nynäshamn,11,Stockholm
127,Salem,11,Stockholm
128,Sigtuna,11,Stockholm
129,Sollentuna,11,Stockholm
130,Solna,11,Stockholm
131,Stockholms stad,11,Stockholm
132,Sundbyberg,11,Stockholm
133,Södertälje,11,Stockholm
134,Tyresö,11,Stockholm
135,Täby,11,Stockholm
136,Upplands Väsby,11,Stockholm
137,Upplands-Bro,11,Stockholm
138,Vallentuna,11,Stockholm
139,Vaxholm,11,Stockholm
140,Värmdö,11,Stockholm
141,Österåker,11,Stockholm
142,Eskilstuna,12,Södermanland
143,Flen,12,Södermanland
144,Gnesta,12,Södermanland
145,Katrineholm,12,Södermanland
146,Nyköping,12,Södermanland
147,Oxelösund,12,Södermanland
148,Strängnäs,12,Södermanland
149,Trosa,12,Södermanland
150,Vingåker,12,Södermanland
151,Essunga,13,Skaraborg
152,Falköping,13,Skaraborg
153,Grästorp,13,Skaraborg
154,Gullspång,13,Skaraborg
155,Götene,13,Skaraborg
156,Hjo,13,Skaraborg
157,Karlsborg,13,Skaraborg
158,Lidköping,13,Skaraborg
159,Mariestad,13,Skaraborg
160,Skara,13,Skaraborg
161,Skövde,13,Skaraborg
162,Tibro,13,Skaraborg
163,Tidaholm,13,Skaraborg
164,Töreboda,13,Skaraborg
165,Vara,13,Skaraborg
166,Boxholm,14,Östergötland
167,Finspång,14,Östergötland
168,Kinda,14,Östergötland
169,Linköping,14,Östergötland
170,Mjölby,14,Östergötland
171,Motala,14,Östergötland
172,Norrköping,14,Östergötland
173,Söderköping,14,Östergötland
174,Vadstena,14,Östergötland
175,Valdemarsvik,14,Östergötland
176,Ydre,14,Östergötland
177,Åtvidaberg,14,Östergötland
178,Ödeshög,14,Östergötland
179,Göteborgs stad,15,Göteborg
180,Härryda,15,Göteborg
181,Kungälv,15,Göteborg
182,Lysekil,15,Göteborg
183,Munkedal,15,Göteborg
184,Mölndal,15,Göteborg
185,Orust,15,Göteborg
186,Partille,15,Göteborg
187,Sotenäs,15,Göteborg
188,Stenungsund,15,Göteborg
189,Strömstad,15,Göteborg
190,Tanum,15,Göteborg
191,Tjörn,15,Göteborg
192,Uddevalla,15,Göteborg
193,Öckerö,15,Göteborg
194,Ale,16,Älvsborg
195,Alingsås,16,Älvsborg
196,Bengtsfors,16,Älvsborg
197,Bollebygd,16,Älvsborg
198,Borås,16,Älvsborg
199,Dals-Ed,16,Älvsborg
200,Färgelanda,16,Älvsborg
201,Herrljunga,16,Älvsborg
202,Lerum,16,Älvsborg
203,Lilla Edet,16,Älvsborg
204,Mark,16,Älvsborg
205,Mellerud,16,Älvsborg
206,Svenljunga,16,Älvsborg
207,Tranemo,16,Älvsborg
208,Trollhättan,16,Älvsborg
209,Ulricehamn,16,Älvsborg
210,Vårgårda,16,Älvsborg
211,Vänersborg,16,Älvsborg
212,Åmål,16,Älvsborg
213,Aneby,17,Jönköping
214,Eksjö,17,Jönköping
215,Gislaved,17,Jönköping
216,Gnosjö,17,Jönköping
217,Habo,17,Jönköping
218,Jönköping stad,17,Jönköping
219,Mullsjö,17,Jönköping
220,Nässjö,17,Jönköping
221,Sävsjö,17,Jönköping
222,Tranås,17,Jönköping
223,Vaggeryd,17,Jönköping
224,Vetlanda,17,Jönköping
225,Värnamo,17,Jönköping
226,Borgholm,18,Kalmar
227,Emmaboda,18,Kalmar
228,Hultsfred,18,Kalmar
229,Högsby,18,Kalmar
230,Kalmar stad,18,Kalmar
231,Mönsterås,18,Kalmar
232,Mörbylånga,18,Kalmar
233,Nybro,18,Kalmar
234,Oskarshamn,18,Kalmar
235,Torsås,18,Kalmar
236,Vimmerby,18,Kalmar
237,Västervik,18,Kalmar
238,Gotland,19,Gotland
239,Falkenberg,20,Halland
240,Halmstad,20,Halland
241,Hylte,20,Halland
242,Kungsbacka,20,Halland
243,Laholm,20,Halland
244,Varberg,20,Halland
245,Alvesta,21,Kronoberg
246,Lessebo,21,Kronoberg
247,Ljungby,21,Kronoberg
248,Markaryd,21,Kronoberg
249,Tingsryd,21,Kronoberg
250,Uppvidinge,21,Kronoberg
251,Växjö,21,Kronoberg
252,Älmhult,21,Kronoberg
253,Karlshamn,22,Blekinge
254,Karlskrona,22,Blekinge
255,Olofström,22,Blekinge
256,Ronneby,22,Blekinge
257,Sölvesborg,22,Blekinge
258,Bjuv,23,Skåne
259,Bromölla,23,Skåne
260,Burlöv,23,Skåne
261,Båstad,23,Skåne
262,Eslöv,23,Skåne
263,Helsingborg,23,Skåne
264,Hässleholm,23,Skåne
265,Höganäs,23,Skåne
266,Hörby,23,Skåne
267,Höör,23,Skåne
268,Klippan,23,Skåne
269,Kristianstad,23,Skåne
270,Kävlinge,23,Skåne
271,Landskrona,23,Skåne
272,Lomma,23,Skåne
273,Lund,23,Skåne
274,Malmö stad,23,Skåne
275,Osby,23,Skåne
276,Perstorp,23,Skåne
277,Simrishamn,23,Skåne
278,Sjöbo,23,Skåne
279,Skurup,23,Skåne
280,Staffanstorp,23,Skåne
281,Svalöv,23,Skåne
282,Svedala,23,Skåne
283,Tomelilla,23,Skåne
284,Trelleborg,23,Skåne
285,Vellinge,23,Skåne
286,Ystad,23,Skåne
287,Åstorp,23,Skåne
288,Ängelholm,23,Skåne
289,Örkelljunga,23,Skåne
290,Östra Göinge,23,Skåne
1001,Akershus,50,Norge
1002,Aust-Agder,50,Norge
1003,Buskerud,50,Norge
1004,Finnmark,50,Norge
1005,Hedmark,50,Norge
1006,Hordaland,50,Norge
1007,Møre og Romsdal,50,Norge
1008,Nord-Trøndelag,50,Norge
1009,Nordland,50,Norge
1010,Oppland,50,Norge
1011,Oslo,50,Norge
1012,Rogaland,50,Norge
1013,Sogn og Fjordane,50,Norge
1014,Svalbard,50,Norge
1015,Sør-Trøndelag,50,Norge
1016,Telemark,50,Norge
1017,Troms,50,Norge
1018,Vest-Agder,50,Norge
1019,Vestfold,50,Norge
1020,Østfold,50,Norge
1,Utland,51,Utomlands
